pitcher,start_year,end_year,emd_whitened_sliced,n_pitches_year1,n_pitches_year2,y1_velo_CH,y1_hb_CH,y1_vb_CH,y2_velo_CH,y2_hb_CH,y2_vb_CH,y1_velo_CS,y1_hb_CS,y1_vb_CS,y2_velo_CS,y2_hb_CS,y2_vb_CS,y1_velo_CU,y1_hb_CU,y1_vb_CU,y2_velo_CU,y2_hb_CU,y2_vb_CU,y1_velo_EP,y1_hb_EP,y1_vb_EP,y2_velo_EP,y2_hb_EP,y2_vb_EP,y1_velo_FA,y1_hb_FA,y1_vb_FA,y2_velo_FA,y2_hb_FA,y2_vb_FA,y1_velo_FC,y1_hb_FC,y1_vb_FC,y2_velo_FC,y2_hb_FC,y2_vb_FC,y1_velo_FF,y1_hb_FF,y1_vb_FF,y2_velo_FF,y2_hb_FF,y2_vb_FF,y1_velo_FO,y1_hb_FO,y1_vb_FO,y2_velo_FO,y2_hb_FO,y2_vb_FO,y1_velo_FS,y1_hb_FS,y1_vb_FS,y2_velo_FS,y2_hb_FS,y2_vb_FS,y1_velo_KC,y1_hb_KC,y1_vb_KC,y2_velo_KC,y2_hb_KC,y2_vb_KC,y1_velo_KN,y1_hb_KN,y1_vb_KN,y2_velo_KN,y2_hb_KN,y2_vb_KN,y1_velo_PO,y1_hb_PO,y1_vb_PO,y2_velo_PO,y2_hb_PO,y2_vb_PO,y1_velo_SC,y1_hb_SC,y1_vb_SC,y2_velo_SC,y2_hb_SC,y2_vb_SC,y1_velo_SI,y1_hb_SI,y1_vb_SI,y2_velo_SI,y2_hb_SI,y2_vb_SI,y1_velo_SL,y1_hb_SL,y1_vb_SL,y2_velo_SL,y2_hb_SL,y2_vb_SL,y1_velo_ST,y1_hb_ST,y1_vb_ST,y2_velo_ST,y2_hb_ST,y2_vb_ST,y1_velo_SV,y1_hb_SV,y1_vb_SV,y2_velo_SV,y2_hb_SV,y2_vb_SV,y1_velo_UN,y1_hb_UN,y1_vb_UN,y2_velo_UN,y2_hb_UN,y2_vb_UN,team_y1,siera_y1,team_y2,siera_y2,team_stuff_y1,stuff+_y1,location+_y1,pitching+_y1,team_stuff_y2,stuff+_y2,location+_y2,pitching+_y2,diff_siera,diff_stuff+,diff_location+,diff_pitching+
Joe Barlow,2021,2022,0.36547278593130944,455,554,,,,,,,,,,,,,79.12758620689655,-1.289655172413793,-9.074137931034482,81.30851063829788,-1.8468085106382979,-8.98936170212766,,,,,,,,,,,,,,,,,,,94.44202898550725,5.243478260869566,19.30772946859903,94.51736526946108,6.42934131736527,19.20538922155689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.46000000000001,10.26,17.240000000000002,95.02857142857144,13.62857142857143,15.314285714285715,85.94324324324324,-2.802162162162162,7.927027027027027,87.26996996996998,-3.8684684684684685,7.3003003003003,,,,,,,,,,,,,,,,,,,TEX,4.18,TEX,4.24,TEX,100.65220264317176,99.22317180616744,100.775859030837,TEX,103.27971428571426,95.64946428571427,101.2299642857143,0.0600000000000005,2.627511642542501,-3.573707520453169,0.45410525487730524
Joe Barlow,2022,2023,0.478279915599938,554,147,,,,,,,,,,,,,81.30851063829788,-1.8468085106382979,-8.98936170212766,78.575,-1.5750000000000002,-9.0,,,,,,,,,,,,,,,,,,,94.51736526946108,6.42934131736527,19.20538922155689,93.28113207547169,4.709433962264151,19.354716981132075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.02857142857144,13.62857142857143,15.314285714285715,,,,87.26996996996998,-3.8684684684684685,7.3003003003003,85.91333333333333,-4.198888888888889,7.191111111111112,,,,,,,,,,,,,,,,,,,TEX,4.24,TEX,5.08,TEX,103.27971428571426,95.64946428571427,101.2299642857143,TEX,95.03342465753424,101.58630136986302,99.6290410958904,0.8399999999999999,-8.246289628180023,5.936837084148749,-1.6009231898239022
Joe Biagini,2017,2018,0.28865399178823004,1931,1209,86.30539568345324,16.07158273381295,9.722302158273381,86.38813559322033,14.536440677966102,7.826271186440678,,,,,,,78.81397590361446,-6.774698795180723,-15.565783132530122,78.06964285714287,-8.35357142857143,-18.660119047619048,,,,,,,,,,,,,90.00216216216216,1.3437837837837838,10.231351351351352,89.08882681564246,-2.412290502793296,7.577094972067039,93.33,5.6375,17.1525,93.74375,2.24375,17.2546875,,,,,,,,,,,,,,,,,,,,,,,,,89.7,13.3,13.0,,,,,,,,,,93.80901287553648,13.047961373390558,16.371030042918456,94.28720588235295,11.484264705882353,15.471617647058824,,,,,,,,,,,,,,,,,,,,,,,,,TOR,4.28,TOR,4.41,,,,,,,,,0.1299999999999999,,,
Joe Biagini,2018,2019,0.2968595487598524,1209,1087,86.38813559322033,14.536440677966102,7.826271186440678,87.15964912280702,11.61140350877193,9.336842105263159,,,,,,,78.06964285714287,-8.35357142857143,-18.660119047619048,76.99247311827958,-6.993548387096774,-18.404301075268815,,,,,,,,,,,,,89.08882681564246,-2.412290502793296,7.577094972067039,87.764,-3.743076923076923,4.517230769230769,93.74375,2.24375,17.2546875,93.84666666666668,3.742777777777778,17.03611111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.28720588235295,11.484264705882353,15.471617647058824,94.06826666666666,11.408,15.2528,,,,,,,,,,,,,,,,,,,,,,,,,TOR,4.41,- - -,4.33,,,,,,,,,-0.08000000000000007,,,
Joe Biagini,2019,2020,0.3223793539885106,1087,118,87.15964912280702,11.61140350877193,9.336842105263159,88.0,7.441666666666666,9.241666666666667,,,,,,,76.99247311827958,-6.993548387096774,-18.404301075268815,77.43809523809524,-5.0095238095238095,-15.166666666666666,,,,,,,,,,,,,87.764,-3.743076923076923,4.517230769230769,88.84,-2.4799999999999995,6.55,93.84666666666668,3.742777777777778,17.03611111111111,93.85714285714286,8.276190476190477,10.933333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.06826666666666,11.408,15.2528,93.32407407407408,11.851851851851851,16.192592592592593,,,,,,,,,,,,,,,,,,,,,,,,,- - -,4.33,HOU,5.71,,,,,HOU,86.00813559322035,95.1101694915254,86.13305084745762,1.38,,,
Joe Biagini,2020,2021,0.8027187032801766,118,41,88.0,7.441666666666666,9.241666666666667,84.6375,8.3625,5.025,,,,,,,77.43809523809524,-5.0095238095238095,-15.166666666666666,71.775,-7.1,-19.875,,,,,,,,,,,,,88.84,-2.4799999999999995,6.55,,,,93.85714285714286,8.276190476190477,10.933333333333334,92.8375,1.9125,18.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.32407407407408,11.851851851851851,16.192592592592593,92.53999999999999,10.14,15.77,,,,83.0909090909091,-3.472727272727273,-0.5636363636363636,,,,,,,,,,,,,,,,,,,HOU,5.71,CHC,5.37,HOU,86.00813559322035,95.1101694915254,86.13305084745762,CHC,98.615,51.971,50.188,-0.33999999999999986,12.60686440677965,-43.1391694915254,-35.94505084745762
Joe Boyle,2023,2024,0.1936963904250571,240,966,,,,,,,,,,,,,81.50434782608696,-7.160869565217391,-14.369565217391305,80.42500000000001,-7.841666666666667,-15.622222222222222,,,,,,,,,,,,,,,,,,,97.79037037037038,4.87037037037037,17.786666666666665,97.71842105263158,4.462631578947368,16.446491228070176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.7,2.6399999999999997,15.2,,,,87.98441558441559,-3.272727272727273,-2.381818181818182,87.97009063444108,-3.838066465256798,-1.2996978851963745,,,,84.58275862068966,-17.448275862068964,-5.0344827586206895,,,,,,,,,,,,,OAK,4.37,OAK,5.22,OAK,109.96491666666664,97.66841666666666,104.37024999999998,OAK,104.78951654970292,82.73086932077898,89.59340810704448,0.8499999999999996,-5.175400116963715,-14.93754734588768,-14.776841892955503
Joe Boyle,2024,2025,0.5971281738621611,966,934,,,,,,,,,,,,,80.42500000000001,-7.841666666666667,-15.622222222222222,,,,,,,,,,,,,,,,,,,,,,97.71842105263158,4.462631578947368,16.446491228070176,98.5167770419426,8.218101545253864,14.778807947019867,,,,,,,,,,92.96973684210526,15.792763157894736,2.906578947368421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.97009063444108,-3.838066465256798,-1.2996978851963745,90.84329268292683,-3.486890243902439,2.166768292682927,84.58275862068966,-17.448275862068964,-5.0344827586206895,82.5,-13.3,-0.6,,,,,,,,,,,,,OAK,5.22,TBR,4.24,OAK,104.78951654970292,82.73086932077898,89.59340810704448,TBR,109.01985243395607,84.60719403609332,96.32700228859912,-0.9799999999999995,4.230335884253151,1.8763247153143396,6.733594181554636
Joe Harvey,2019,2020,0.465568015368879,361,50,90.8,13.671428571428573,11.328571428571427,91.1,11.9,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.19598540145985,12.801824817518247,15.95948905109489,95.17857142857143,10.507142857142856,13.821428571428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.1575,-1.35,4.5225,87.0,-1.8190476190476192,4.819047619047619,,,,,,,,,,,,,,,,,,,- - -,5.47,COL,4.5,,,,,COL,95.67333333333332,99.06592592592594,94.13740740740742,-0.9699999999999998,,,
Joe Jacques,2023,2024,0.31906670860620784,436,50,84.8875,-13.8875,-2.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.76363636363637,-17.21818181818182,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.29169811320754,-17.439245283018867,-1.8562264150943395,90.49375,-17.24375,-3.3406249999999997,,,,83.34,0.7600000000000001,1.3199999999999998,77.14999999999999,15.344736842105263,-0.07434210526315789,77.23846153846154,17.007692307692306,-0.5384615384615384,,,,,,,,,,,,,BOS,4.12,- - -,4.42,BOS,108.1355787536474,97.09154092961872,101.47880053999737,- - -,106.2148,71.246,73.5368,0.2999999999999998,-1.9207787536473973,-25.84554092961872,-27.942000539997366
